Name,Description,Location,Website,OrgType,PopFocus,,,,,,,,,,,,,,,,,,,,
TransBucket,Online database of results of surgical transition maintained by trans community members,Online resource,transbucket.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Transgender Student Educational Resources (TSER),"Resources created and collected by trans students, including educational and informational graphics – home of the Gender Unicorn",Online resource,transstudent.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
TransYouth Family Allies (TYFA),Information and resources for families with trans children.,"Online and based in Holland, MI",imatyfa.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Trevor Project Helpline,"Suicide prevention and support line for LGBTQI and GNC youth available through call, text, or online chat",Nationwide 866.488.7386,thetrevorproject.org,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
We Happy Trans,Videos from trans people answering questions about their personal heroes and experiences,Online resource,wehappytrans.com,Online Guides and Resources,All Ages,,,,,,,,,,,,,,,,,,,,
Affirmative Counseling,"Psychotherapy, supervision, consultation, and training that specializes in LGBTQ youth, adults, and families.","42 Howard St. Pittsfield, MA 413.358.3038 or 413.358.5697",affirmativecounseling.net,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
AIDS Action Committee,Prevention and health and wellness services for people living with HIV/AIDS.,"75 Amory St., Boston, MA 617.437.6200",aac.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Boston Children’s Hospital – Gender Management Services Clinic (GeMS),"Serves transgender, genderqueer, gender non-conforming, and intersex youth and their families, including hormone blocking therapy","333 Longwood Ave. 2nd Floor Boston, MA 617.335.7476",childrenshospital.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Boston Healthcare for the Homeless - Transgender Program,"Clinic serving transgender people in Boston who are homeless or at risk of becoming homeless. Services include primary care, walk-in urgent care, behavioral health care, crisis intervention, HIV counseling and testing, case management, weekly support group, free legal clinic offered monthly","780 Albany St. Boston, MA 857.7654.1600 Thursdays until 8 pm",https://www.bhchp.org/specialized-services/transgender-program,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Brattleboro Retreat,"The Brattleboro Retreat provides specialized diagnosis and treatment services for children, adolescents and adults suffering from a wide range of psychiatric and addiction challenges. Includes an LGBT inpatient program","Brattleboro, VT",brattlebororetreat.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Diverse Understanding Mental Health Counseling,A collection of therapists that specialize in working with families of color who have an LGBTQ family member.,"15 Union St. Suite 404 Lawrence, MA",diverseunderstanding.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Fenway Health,"LGBTQ health care, counseling, support groups and programs, as well as best practices, and research.","1340 Boylston St., Boston, MA 617.267.0900",fenwayhealth.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Fenway Health Peer Listening Line,Helplines staffed by volunteers to support LGBTQ people.,"Statewide, based in Boston, MA",Peer Listening Line: 617.267.2535 Toll-free: 800.339.PEER,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Health Quarters,"Health centers that are welcoming of LGBTQI and GNC youth. Sites across North Shore area. For locations, visit website.","North Shore, MA 800.297.7738",healthq.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Informed Consent for Hormone Therapy,Fenway Health offers Informed Consent paperwork for hormone therapy in English and Spanish,Online resource,Available at this website on the sidebar fenwayhealth.org/care/medical/transgender-health/,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
IVF New England,Fertility treatment center that has a history of working with transgender clients for assistance in reproduction,"Lexington, MA",ivfne.com,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
New England Gender Specialists Listerv,A listerv of therapists who specialize in working with transgender clients.,"New England, Online resource","For a therapist referral, to join, or for more information, contact Missy Sturtevant – missy@maebright.com",Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Phoenix Collective in Boston,Collaborative professional community of independent mental health service providers serving the Greater Boston area that serves trans clients among other populations,"Roslindale, MA",phoenixcollectiveboston.com,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
"Rachel O'Brien, IBCLC (lactation consultant)","In-home lactation, breastfeeding & chestfeeding support & education including prenatal and pre-adoption sessions; special reduced pricing for lactating transfolk and co-nursing families. Also offers a weekly breastfeeding & chestfeeding support group.","Sudbury, MA 413.687.0106",https://rachelobrienibclc.com/pricing-transgender-conursing-parents/,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Scarleteen,"Online resource with inclusive, comprehensive sexuality information and help for young people",Online resource,scarleteen.com,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Sidney Borum Jr. Health Center,A health center that is a part of Fenway Health that specializes in LGBTQI and GNC youth ages 12-29 in the Boston area. They work with most insurance companies and sometimes offer support for travel.,"75 Kneeland St. Boston, MA 617.457.8140",sidneyborum.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Tapestry Health,"Health centers that are welcoming of LGBTQI and GNC youth. Sites across Western MA. For locations, visit website.",Western MA 413.586.2016 or 800.696.7752,tapestryhealth.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
The Meeting Point,"A collection of therapists that specialize in LGBTQ youth, adults, families, and other marginalized identities.","3464 Washington St. Jamaica Plain, MA 877.207.84.79",themeetingpoint.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
The Triangle Program at Arbour-HRI Hospital,"A partial hospitalization program in the Boston Area focused on the mental health needs of LGBTQ people dealing with trauma, sexual abuse, depression, social isolation, eating disorders, the emotional impact of HIV infection and co-occuring psychiatric and addiction disorders.","227 Babcock St. Brookline, MA 617.731.3200",arbourhealth.com/about/programs-for-lesbian-gay-bisexual-transgender-and-questioning-individuals/,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Trans Care Site,A listing of providers who are supportive of trans clients,Online resource,transcaresite.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Trans Lifeline,Suicide and harm prevention and support line for transgender people staffed by transgender volunteers,Nationwide and Canada 877.565.8860,translifeline.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Trevor Project Helpline,"Suicide prevention and support line for LGBTQI and GNC youth available through call, text, or online chat",Nationwide 866.488.73.86,thetrevorproject.org,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
World Professional Association for Transgender Health (WPATH),"WPATH is a non-profit, interdisciplinary professional and educational organization devoted to transgender health. WPATH Releases the Standards of Care for Transgender Health.",Worldwide,wpath.org Standards of Care v7: tinyurl.com/socv7,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Cultivate: QTPOC Healing Practice,Cultivate is a labor of love and intention. Kamaria Weems (they/them) and Janhavi Madabushi (xie/they) are queer and trans people of color living in the Boston metro area creating offerings for QTPOC to circle up and share healing practices.,Boston Metro Area,https://www.facebook.com/cultivateQTPOChealing/,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
Boston Abortion Support Collective,"The Boston Abortion Support Collective provides free, compassionate and empowering support to people experiencing abortion. We provide physical, emotional, spiritual and informational support for people throughout the full spectrum of reproductive experiences, with a focus on abortion and pregnancy loss. POC lead and centered.",Boston Metro Area,http://www.bostondoulaproject.org/,Health and Wellness,All Ages,,,,,,,,,,,,,,,,,,,,
BECAUSE,"An annual conference of the Bisexual Organizing Project dedicated to building empowered bi, pan, fluid, queer, unlabeled (bi+) and allied communities",Upper Midwest,becauseconference.org,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
Creating Change,An annual conference for LGBTQ advocates and activists hosted by the National LGBTQ Task Force.,Rotating within USA,thetaskforce.org/creating-change,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
First Event Conference,"Annual January conference for transgender people, families, and service providers. Organized by Tiffany Club of New England.","Waltham, MA",firstevent.us,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
"MaeBright Group, LLC","Training and technical assitance for non-profits, state agencies, schools, religious communities, summer camps, and mental health providers on evaluating and improving climates for LGBTQ people.","New England - based in Boston, MA",maebright.com,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
Philadelphia Trans Health Conference,Annual early June conference for transgender individuals and service providers who work with them.,"Philadelphia, PA",trans-health.org,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
SpeakOUT Boston,Volunteer LGBTQ speakers bureau creating change through personal stories,"Boston, MA",speakoutboston.org,"Training, Conferences, and Continuing Education",Professionals and Communities,,,,,,,,,,,,,,,,,,,,
Lotux,"Lotux hopes to merge the worlds of drag and organizing by organizing in drag. Lotux is a collective of AAPI Drag artists dedicated in the fight for social justice. We aim to create social change through workshops, discussions, performances, and organizing. You do not need to have prior experience to engage and/or join. This is a space that is open for folks to experiment with the art of drag, as well as cultivate and hone their art.",needs location added!,https://aarw.org/lotux,Performing/Live Arts Groups,Adults,,,,,,,,,,,,,,,,,,,,
Theater Offensive,"The Theater Offensive’s Mission is to present the diversity of lesbian, gay, bisexual, and transgender lives in art so bold it breaks through personal isolation, challenges the status quo, and builds thriving communities.

",needs location added!,http://www.thetheateroffensive.org/,Performing/Live Arts Groups,Adults,,,,,,,,,,,,,,,,,,,,
Voices Rising,"Voices Rising is a women's chorus, founded upon feminist principles of community, inclusivity, activism and education. We sing together to give voice to our lives, identities and beliefs, and to celebrate the diverse lesbian, gay, bisexual, trans and women's communities in and around Boston. Raising our voices in joy and solidarity, we contribute to the growing tradition of the women's choral movement. Through our music, we strengthen ourselves and serve our community's history, present needs and future possibilities.",needs location added!,http://www.voicesrising.org/,Performing/Live Arts Groups,Adults,,,,,,,,,,,,,,,,,,,,
Queer Soup,"Queer Soup specializes in developing new works by local artists. In addition to stage plays, we collaborate on projects with local LGBTQ youth organizations and donate part of every show’s profits to a local non-profit. Queer Soup’s mission is to create original work that pushes the boundaries of theater, to inspire open dialogue and change. We have been performing throughout New England for the last 12 years, empowering audiences to discover truth in their identity.",needs location added!,https://queersouptheater.org/,Performing/Live Arts Groups,Adults,,,,,,,,,,,,,,,,,,,,
The Boston Sisters of Perpetual Indulgence,"We are the sacred clowns of our community, taking a stand on the edge of what our society defines as “normal”. All of those who walk beside us are by default closer to the center of the tent of inclusion.

You may be male, female, transgender, or intersex. You may be straight, gay/lesbian, bisexual, queer, or questioning. You may prefer wearing suits or dresses, leather or lace, or nothing at all. You may enjoy baking or boxing, kitsch or kink.",needs location added!,http://www.thebostonsisters.org/,Performing/Live Arts Groups,Adults,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
